RNK,"PLAYER, TEAM POS",C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
1,49ers D/STD/ST,0/0,0,0,0,0,0,0,0,0,0,177
2,Seahawks D/STD/ST,0/0,0,0,0,0,0,0,0,0,0,171
3,Texans D/STD/ST,0/0,0,0,0,0,0,0,0,0,0,166
4,Bears D/STD/ST,0/0,0,0,0,0,0,0,0,0,0,160
5,Broncos D/STD/ST,0/0,0,0,0,0,0,0,0,0,0,140
6,Patriots D/STD/ST,0/0,0,0,0,0,0,0,0,0,0,136
7,Steelers D/STD/ST,0/0,0,0,0,0,0,0,0,0,0,136
8,Packers D/STD/ST,0/0,0,0,0,0,0,0,0,0,0,126
9,Bengals D/STD/ST,0/0,0,0,0,0,0,0,0,0,0,125
10,Rams D/STD/ST,0/0,0,0,0,0,0,0,0,0,0,123
11,Cowboys D/STD/ST,0/0,0,0,0,0,0,0,0,0,0,120
12,Ravens D/STD/ST,0/0,0,0,0,0,0,0,0,0,0,117
13,Buccaneers D/STD/ST,0/0,0,0,0,0,0,0,0,0,0,114
14,Chargers D/STD/ST,0/0,0,0,0,0,0,0,0,0,0,106
15,Giants D/STD/ST,0/0,0,0,0,0,0,0,0,0,0,104
16,Dolphins D/STD/ST,0/0,0,0,0,0,0,0,0,0,0,102
17,Vikings D/STD/ST,0/0,0,0,0,0,0,0,0,0,0,102
18,Falcons D/STD/ST,0/0,0,0,0,0,0,0,0,0,0,100
19,Jets D/STD/ST,0/0,0,0,0,0,0,0,0,0,0,99
20,Cardinals D/STD/ST,0/0,0,0,0,0,0,0,0,0,0,94
21,Redskins D/STD/ST,0/0,0,0,0,0,0,0,0,0,0,88
22,Browns D/STD/ST,0/0,0,0,0,0,0,0,0,0,0,85
23,Titans D/STD/ST,0/0,0,0,0,0,0,0,0,0,0,84
24,Panthers D/STD/ST,0/0,0,0,0,0,0,0,0,0,0,84
25,Eagles D/STD/ST,0/0,0,0,0,0,0,0,0,0,0,81
26,Lions D/STD/ST,0/0,0,0,0,0,0,0,0,0,0,78
27,Chiefs D/STD/ST,0/0,0,0,0,0,0,0,0,0,0,76
28,Colts D/STD/ST,0/0,0,0,0,0,0,0,0,0,0,73
29,Saints D/STD/ST,0/0,0,0,0,0,0,0,0,0,0,73
30,Bills D/STD/ST,0/0,0,0,0,0,0,0,0,0,0,71
31,Jaguars D/STD/ST,0/0,0,0,0,0,0,0,0,0,0,63
32,Raiders D/STD/ST,0/0,0,0,0,0,0,0,0,0,0,40